Station,Annee,Mois,Jour,Pluie,Insolation,TCM=(Tmin+Tmax)/2,TDM= moyenne des valeurs trihoraires,TMAX,TMIN,Humidité relative MAX,Humidité relative MIN,Date,Vitesse_moy,Pluie_moy_voisine,TCM,Humidite_moy,Evap_estimee
Ouahigouya,2020,1,1,0.0,10.5,23.5,23.400000000000002,31.0,16.0,38,3,2020-01-01,4.9375,0.0,23.5,20.5,11.2375
Ouahigouya,2020,1,1,0.0,10.5,23.5,23.400000000000002,31.0,16.0,38,3,2020-01-01,11.4375,0.0,23.5,20.5,12.5375
Ouahigouya,2020,1,2,0.0,7.8,21.2,20.5,26.400000000000002,15.9,27,11,2020-01-02,4.875,0.0,21.2,19.0,9.334999999999999
Ouahigouya,2020,1,2,0.0,7.8,21.2,20.5,26.400000000000002,15.9,27,11,2020-01-02,3.0625,0.0,21.2,19.0,8.9725
Ouahigouya,2020,1,3,0.0,8.5,19.0,19.2,25.1,12.9,26,8,2020-01-03,7.5625,0.0,19.0,17.0,9.7625
Ouahigouya,2020,1,3,0.0,8.5,19.0,19.2,25.1,12.9,26,8,2020-01-03,2.75,0.0,19.0,17.0,8.8
Ouahigouya,2020,1,4,0.0,8.5,20.0,19.7,25.900000000000002,14.1,30,13,2020-01-04,9.4375,0.0,20.0,21.5,9.987499999999999
Ouahigouya,2020,1,4,0.0,8.5,20.0,19.7,25.900000000000002,14.1,30,13,2020-01-04,5.3125,0.0,20.0,21.5,9.1625
Ouahigouya,2020,1,5,0.0,9.5,21.3,20.8,28.1,14.5,38,13,2020-01-05,8.9375,0.0,21.3,25.5,10.3775
Ouahigouya,2020,1,5,0.0,9.5,21.3,20.8,28.1,14.5,38,13,2020-01-05,9.25,0.0,21.3,25.5,10.44
Ouahigouya,2020,1,6,0.0,9.6,21.8,21.5,28.900000000000002,14.6,39,13,2020-01-06,2.125,0.0,21.8,26.0,9.165000000000001
Ouahigouya,2020,1,6,0.0,9.6,21.8,21.5,28.900000000000002,14.6,39,13,2020-01-06,10.875,0.0,21.8,26.0,10.915000000000001
Ouahigouya,2020,1,7,0.0,9.4,22.6,22.6,30.0,15.200000000000001,43,12,2020-01-07,8.1875,0.0,22.6,27.5,10.3675
Ouahigouya,2020,1,7,0.0,9.4,22.6,22.6,30.0,15.200000000000001,43,12,2020-01-07,11.0,0.0,22.6,27.5,10.93
Ouahigouya,2020,1,8,0.0,10.1,25.400000000000002,24.7,32.8,17.900000000000002,35,14,2020-01-08,15.1875,0.0,25.400000000000002,24.5,13.2575
Ouahigouya,2020,1,8,0.0,10.1,25.400000000000002,24.7,32.8,17.900000000000002,35,14,2020-01-08,12.8125,0.0,25.400000000000002,24.5,12.782499999999999
Ouahigouya,2020,1,9,0.0,9.3,25.900000000000002,25.5,33.2,18.6,39,10,2020-01-09,11.625,0.0,25.900000000000002,24.5,12.295000000000002
Ouahigouya,2020,1,9,0.0,9.3,25.900000000000002,25.5,33.2,18.6,39,10,2020-01-09,10.8125,0.0,25.900000000000002,24.5,12.1325
Ouahigouya,2020,1,10,0.0,9.5,25.8,25.900000000000002,33.5,18.0,39,12,2020-01-10,7.625,0.0,25.8,25.5,11.465
Ouahigouya,2020,1,10,0.0,9.5,25.8,25.900000000000002,33.5,18.0,39,12,2020-01-10,9.1875,0.0,25.8,25.5,11.7775
Ouahigouya,2020,1,11,0.0,9.700000000000001,26.400000000000002,26.0,32.7,20.0,31,11,2020-01-11,13.5,0.0,26.400000000000002,21.0,13.37
Ouahigouya,2020,1,11,0.0,9.700000000000001,26.400000000000002,26.0,32.7,20.0,31,11,2020-01-11,13.4375,0.0,26.400000000000002,21.0,13.3575
Ouahigouya,2020,1,12,0.0,9.8,26.1,25.2,32.5,19.7,34,11,2020-01-12,15.3125,0.0,26.1,22.5,13.5425
Ouahigouya,2020,1,12,0.0,9.8,26.1,25.2,32.5,19.7,34,11,2020-01-12,12.375,0.0,26.1,22.5,12.955
Ouahigouya,2020,1,13,0.0,8.9,23.400000000000002,23.1,28.6,18.1,25,10,2020-01-13,17.6875,0.0,23.400000000000002,17.5,13.2575
Ouahigouya,2020,1,13,0.0,8.9,23.400000000000002,23.1,28.6,18.1,25,10,2020-01-13,12.8125,0.0,23.400000000000002,17.5,12.2825
Ouahigouya,2020,1,14,0.0,10.4,23.0,22.7,30.0,15.9,26,7,2020-01-14,16.1875,0.0,23.0,16.5,13.6875
Ouahigouya,2020,1,14,0.0,10.4,23.0,22.7,30.0,15.9,26,7,2020-01-14,11.5,0.0,23.0,16.5,12.75
Ouahigouya,2020,1,15,0.0,9.4,24.3,23.6,31.1,17.5,20,9,2020-01-15,12.75,0.0,24.3,14.5,13.09
Ouahigouya,2020,1,15,0.0,9.4,24.3,23.6,31.1,17.5,20,9,2020-01-15,11.0,0.0,24.3,14.5,12.740000000000002
Ouahigouya,2020,1,16,0.0,9.9,25.1,25.0,33.2,17.0,31,12,2020-01-16,15.25,0.0,25.1,21.5,13.38
Ouahigouya,2020,1,16,0.0,9.9,25.1,25.0,33.2,17.0,31,12,2020-01-16,11.25,0.0,25.1,21.5,12.58
Ouahigouya,2020,1,17,0.0,9.700000000000001,24.900000000000002,25.1,31.7,18.0,26,10,2020-01-17,8.4375,0.0,24.900000000000002,18.0,12.2075
Ouahigouya,2020,1,17,0.0,9.700000000000001,24.900000000000002,25.1,31.7,18.0,26,10,2020-01-17,3.0625,0.0,24.900000000000002,18.0,11.1325
Ouahigouya,2020,1,18,0.0,10.1,23.1,23.900000000000002,31.0,15.1,50,9,2020-01-18,4.8125,0.0,23.1,29.5,9.9925
Ouahigouya,2020,1,18,0.0,10.1,23.1,23.900000000000002,31.0,15.1,50,9,2020-01-18,5.3125,0.0,23.1,29.5,10.092500000000001
Ouahigouya,2020,1,19,0.0,8.9,23.7,23.3,30.8,16.5,39,11,2020-01-19,4.1875,0.0,23.7,25.0,9.897499999999999
Ouahigouya,2020,1,19,0.0,8.9,23.7,23.3,30.8,16.5,39,11,2020-01-19,6.75,0.0,23.7,25.0,10.409999999999998
Ouahigouya,2020,1,20,0.0,9.4,24.5,24.400000000000002,32.9,16.0,38,13,2020-01-20,8.6875,0.0,24.5,25.5,11.2375
Ouahigouya,2020,1,20,0.0,9.4,24.5,24.400000000000002,32.9,16.0,38,13,2020-01-20,6.875,0.0,24.5,25.5,10.875
Ouahigouya,2020,1,21,0.0,7.6000000000000005,27.2,26.5,34.2,20.2,33,15,2020-01-21,7.875,0.0,27.2,24.0,11.135
Ouahigouya,2020,1,21,0.0,7.6000000000000005,27.2,26.5,34.2,20.2,33,15,2020-01-21,5.1875,0.0,27.2,24.0,10.5975
Ouahigouya,2020,1,22,0.0,6.3,27.5,27.0,33.9,21.0,35,14,2020-01-22,8.6875,0.0,27.5,24.5,10.6875
Ouahigouya,2020,1,22,0.0,6.3,27.5,27.0,33.9,21.0,35,14,2020-01-22,9.0625,0.0,27.5,24.5,10.7625
Ouahigouya,2020,1,23,0.0,5.8,28.6,27.900000000000002,34.6,22.6,29,9,2020-01-23,6.625,0.0,28.6,19.0,10.905
Ouahigouya,2020,1,23,0.0,5.8,28.6,27.900000000000002,34.6,22.6,29,9,2020-01-23,6.0625,0.0,28.6,19.0,10.7925
Ouahigouya,2020,1,24,0.0,4.8,26.6,26.3,33.2,19.900000000000002,29,5,2020-01-24,12.3125,0.0,26.6,17.0,11.142500000000002
Ouahigouya,2020,1,24,0.0,4.8,26.6,26.3,33.2,19.900000000000002,29,5,2020-01-24,6.375,0.0,26.6,17.0,9.955000000000002
Ouahigouya,2020,1,25,0.0,9.8,28.1,27.7,36.0,20.2,20,4,2020-01-25,4.875,0.0,28.1,12.0,13.105
Ouahigouya,2020,1,25,0.0,9.8,28.1,27.7,36.0,20.2,20,4,2020-01-25,4.0625,0.0,28.1,12.0,12.942499999999999
Ouahigouya,2020,1,26,0.0,9.700000000000001,27.3,27.0,35.0,19.6,23,3,2020-01-26,5.125,0.0,27.3,13.0,12.764999999999999
Ouahigouya,2020,1,26,0.0,9.700000000000001,27.3,27.0,35.0,19.6,23,3,2020-01-26,6.375,0.0,27.3,13.0,13.014999999999999
Ouahigouya,2020,1,27,0.0,8.5,26.7,26.3,33.4,20.0,18,2,2020-01-27,5.5625,0.0,26.7,10.0,12.3725
